Node_ID,X,Y,Z,Temperature
113,0.419922,-0.540039,0.540039,56.695194
114,0.540039,-0.419922,0.540039,54.114067
115,0.459834,-0.304941,0.671748,55.051314
116,0.607096,-0.154080,0.607096,51.772102
117,0.488390,0.000000,0.718859,53.534753
118,0.163194,0.331543,0.777507,56.691448
119,0.000000,0.172309,0.834635,58.837112
120,0.331543,0.163194,0.777507,55.264235
121,0.607096,0.154080,0.607096,50.906767
122,0.459834,0.304941,0.671748,53.171127
123,0.540039,0.419922,0.540039,51.624134
124,0.419922,0.540039,0.540039,53.200650
125,0.304941,0.459834,0.671748,54.825014
126,0.154080,0.607096,0.607096,56.060317
127,0.000000,0.488390,0.718859,57.807106
128,-0.331543,0.163194,0.777507,61.967790
129,-0.163194,0.331543,0.777507,59.752985
130,-0.154080,0.607096,0.607096,58.757758
131,-0.304941,0.459834,0.671748,60.464384
132,-0.419922,0.540039,0.540039,61.075881
133,-0.540039,0.419922,0.540039,62.537371
134,-0.459834,0.304941,0.671748,62.403299
135,-0.607096,0.154080,0.607096,64.595432
136,0.163194,-0.331543,-0.777507,59.213502
137,0.000000,-0.172309,-0.834635,60.320156
138,0.172309,0.000000,-0.834635,57.673025
139,0.331543,-0.163194,-0.777507,56.353471
140,0.488390,0.000000,-0.718859,53.534753
141,0.607096,-0.154080,-0.607096,51.772102
142,0.459834,-0.304941,-0.671748,55.051314
143,0.540039,-0.419922,-0.540039,54.114067
144,0.419922,-0.540039,-0.540039,56.695194
145,0.304941,-0.459834,-0.671748,58.007600
146,0.154080,-0.607096,-0.607096,60.884898
147,0.000000,-0.488390,-0.718859,62.136546
148,-0.331543,-0.163194,-0.777507,63.893485
149,-0.172309,0.000000,-0.834635,61.266815
150,-0.163194,-0.331543,-0.777507,63.111498
151,-0.154080,-0.607096,-0.607096,65.301255
152,-0.304941,-0.459834,-0.671748,66.108751
153,-0.419922,-0.540039,-0.540039,69.376827
154,-0.540039,-0.419922,-0.540039,69.833705
155,-0.459834,-0.304941,-0.671748,66.745267
156,-0.607096,-0.154080,-0.607096,67.179684
157,-0.488390,0.000000,-0.718859,64.427682
158,-0.163194,0.331543,-0.777507,59.752985
159,0.000000,0.172309,-0.834635,58.837112
160,-0.331543,0.163194,-0.777507,61.967790
161,-0.607096,0.154080,-0.607096,64.595432
162,-0.459834,0.304941,-0.671748,62.403299
163,-0.540039,0.419922,-0.540039,62.537371
164,-0.419922,0.540039,-0.540039,61.075881
165,-0.304941,0.459834,-0.671748,60.464384
166,-0.154080,0.607096,-0.607096,58.757758
167,0.000000,0.488390,-0.718859,57.807106
168,0.331543,0.163194,-0.777507,55.264235
169,0.163194,0.331543,-0.777507,56.691448
170,0.154080,0.607096,-0.607096,56.060317
171,0.304941,0.459834,-0.671748,54.825014
172,0.419922,0.540039,-0.540039,53.200650
173,0.540039,0.419922,-0.540039,51.624134
174,0.459834,0.304941,-0.671748,53.171127
175,0.607096,0.154080,-0.607096,50.906767
176,-0.163194,0.777507,0.331543,58.322060
177,0.000000,0.834635,0.172309,56.820916
178,-0.172309,0.834635,0.000000,58.223291
179,-0.331543,0.777507,0.163194,59.602853
180,-0.488390,0.718859,0.000000,60.947004
181,-0.607096,0.607096,0.154080,62.257009
182,-0.459834,0.671748,0.304941,60.901258
183,-0.540039,0.540039,0.419922,62.013456
184,-0.304941,0.671748,0.459834,59.736004
185,0.000000,0.718859,0.488390,57.161870
186,0.331543,0.777507,0.163194,53.689283
187,0.172309,0.834635,0.000000,55.238692
188,0.163194,0.777507,0.331543,55.503397
189,0.304941,0.671748,0.459834,54.306920
190,0.540039,0.540039,0.419922,51.350432
191,0.459834,0.671748,0.304941,52.304060
